Bank Name,Cert #,Assets QoQ Pct,Cash QoQ Pct,Securities QoQ Pct,Loans QoQ Pct,Total Deposits QoQ Pct,Core QoQ Pct,Assets,Cash,Securities,Loans,Total Deposits,Core Deposits,Risk Prediction,City,State,S/A Ratio,C/A Ratio,L/D Ratio
Great Plains Bank,505.0,-0.005484435018925149,-0.05157787580590434,-0.13318782770126192,0.05052414504210345,-0.01645519925826311,-0.028462060277158585,141622000.0,5590000.0,34552000.0,97808000.0,117749000.0,100253000.0,Risky,Eureka,SD,0.2439733939642146,0.0394712685882137,0.830648243297183
Chemung Canal Trust Company,597.0,0.007644373062915433,0.6050884623471808,-0.035592236971296654,0.01127142152731997,0.024817673192812917,-0.0037312385254174574,2670180000.0,53435000.0,605054000.0,1874519000.0,2394590000.0,2164630000.0,Risky,Elmira,NY,0.22659670883610844,0.020011759506849726,0.7828141769572244
Tompkins Trust Company,609.0,-0.002047213844640239,0.16159267189427573,-0.06205947232255271,0.014585738847786356,-0.008101536203182214,-0.010087669013655653,7590376000.0,81919000.0,1781150000.0,5303820000.0,6503049000.0,6225328000.0,Risky,Ithaca,NY,0.23465899449513436,0.010792482480446291,0.8155897333696855
Amalgamated Bank,622.0,-0.005653506309860168,-0.44055244336398547,-0.007009122019442482,0.012139398964031045,-0.02182703386630036,-0.0048185377567840915,7808078000.0,79394000.0,3234779000.0,4187413000.0,6913033000.0,6392780000.0,Risky,New York,NY,0.4142862046203944,0.01016818735673491,0.6057273269200364
First Columbia Bank & Trust Co.,686.0,0.0053747729413347045,0.2553003533568905,-0.023041663615728236,0.016329409920443183,-0.024964663579535085,-0.024770525319565917,956409000.0,12789000.0,333558000.0,544593000.0,659471000.0,643000000.0,Risky,Bloomsburg,PA,0.348760833492784,0.013371894241898602,0.825802802549316
Farmers Bank and Savings Company,769.0,-0.017783226293167642,-0.13996329277411457,-0.01965174129353231,-0.013380947299419188,-0.003782047086343887,-0.007721231865304712,395798000.0,12652000.0,98525000.0,258877000.0,350068000.0,325909000.0,Risky,Pomeroy,OH,0.24892748321113295,0.03196580073673945,0.7395048961915971
Iowa State Bank,950.0,0.020146061844586782,0.33572233029589427,-0.0475996209101921,0.04648837149670504,-0.022080921840086476,-0.03690173622806747,440293000.0,13046000.0,151745000.0,244872000.0,337430000.0,314519000.0,Risky,Algona,IA,0.3446454974301204,0.0296302689345504,0.725697181637673
Cherokee State Bank,951.0,0.02613010098435864,0.8666367310282892,-0.033689655172413846,0.03427676169067806,0.019041965598319388,-0.027141997689363095,257690000.0,8314000.0,84069000.0,151837000.0,219735000.0,182729000.0,Risky,Cherokee,IA,0.3262408320074508,0.032263572509604564,0.6910005233576808
United Bank of Iowa,958.0,0.01447742567136756,0.13977995019142853,-0.010589880252778183,0.015561450764262075,-0.01640721743080098,-0.032305626238660845,2350040000.0,61327000.0,665874000.0,1496443000.0,1803859000.0,1575180000.0,Risky,Ida Grove,IA,0.28334581539037634,0.02609615155486715,0.829578697669829
The Home Trust & Savings Bank,963.0,-0.009464894640202837,-0.1373682420945257,-0.03946703044700295,0.010507901066902914,-0.039213436645919475,-0.04391712178168661,271890000.0,10148000.0,81677000.0,175600000.0,234479000.0,215677000.0,Risky,Osage,IA,0.3004045753797492,0.03732391776085917,0.7488943572771976
Home State Bank,966.0,0.04729317328499816,-0.17430368373764604,-0.022984898999803938,0.12612717661691542,0.0020663190002951914,-0.004481204547782447,56624000.0,1838000.0,24909000.0,28973000.0,40736000.0,38877000.0,Risky,Royal,IA,0.43990180842045773,0.032459734388245266,0.7112382168106834
Tri-County Bank,977.0,0.010523898603161053,0.06452025041522935,-0.019391151638952775,0.016224769213111,-0.05295683266652773,-0.05556798671204999,541275000.0,8332000.0,133454000.0,371859000.0,445491000.0,438955000.0,Risky,Brown City,MI,0.24655489353840468,0.015393284374855664,0.8347171996740675
Isabella Bank,1005.0,-0.020708457308612926,-0.6982090702579913,-0.06709915220407592,0.050669180348455356,-0.05186212930366263,-0.06139129235754426,1993203000.0,29759000.0,530495000.0,1321932000.0,1729595000.0,1633686000.0,Risky,Mount Pleasant,MI,0.2661520176319221,0.01493024042207442,0.7643014694191415
Bank & Trust Company,1047.0,0.018958056446813254,0.06750620572743227,-0.029967081889238578,0.042154123221394,0.0062846136580732015,-0.016360814908671584,455407000.0,17632000.0,133785000.0,291651000.0,385566000.0,345459000.0,Risky,Litchfield,IL,0.29377018798569193,0.03871701576831274,0.7564230248517764
Peoples State Bank of Plainview,1100.0,0.027784069893135976,0.35331689825190504,-0.017928681924556766,0.03306342478662638,0.024161395531113516,0.010333499253359912,358451000.0,12077000.0,99036000.0,231306000.0,316217000.0,304464000.0,Risky,Plainview,MN,0.27628880934911604,0.033692192238269664,0.7314786997536502
First Interstate Bank,1105.0,-0.02042127381473713,-0.37027114070109,-0.026513171868637553,0.0008216393007889344,-0.020743246048680164,-0.026769735002948214,30920570000.0,680451000.0,9175567000.0,18115272000.0,23750011000.0,23099051000.0,Risky,Billings,MT,0.2967463730455163,0.02200641838103243,0.7627479414641113
Merchants State Bank,1125.0,0.024882383690538523,0.8286713286713288,-0.022452400006039652,0.017273302371511035,-0.029972989932611216,-0.03099303494283956,215666000.0,4707000.0,64742000.0,131861000.0,177772000.0,164862000.0,Risky,Freeman,SD,0.3001956729387108,0.021825415225394825,0.7417422316225277
Colorado Bank and Trust Co. of La Junta,1141.0,-0.04574153985918694,-0.587185112338301,-0.12180980106744299,0.03890954804792934,-0.07907872266070592,-0.08873231795803782,168064000.0,5457000.0,36199000.0,118177000.0,139666000.0,134381000.0,Risky,La Junta,CO,0.2153881854531607,0.032469773419649656,0.8461400770409405
Sundance State Bank,1169.0,-0.03623721815941494,-0.3200899550224887,-0.032172351885098704,-0.03233126418243537,-0.02672368733665953,-0.026536845127776765,240906000.0,5442000.0,67385000.0,154797000.0,204826000.0,186462000.0,Risky,Sundance,WY,0.2797149095497829,0.022589723792682623,0.7557487818929237
The Bank and Trust,1184.0,-0.030422457052420637,-0.4729997795900375,-0.0517140735955024,0.008852950619862465,-0.033922816053603366,-0.03396369292482759,531153000.0,11955000.0,167326000.0,323637000.0,493678000.0,472015000.0,Risky,Del Rio,TX,0.31502410793123636,0.022507639041857996,0.655562937785358
Commercial Bank of Texas,1209.0,-0.011215151073376117,-0.24565435582643602,-0.03499229297975193,0.03208171313565522,-0.029611165939156137,-0.0315363539648833,1336142000.0,51859000.0,358731000.0,860494000.0,1206466000.0,1153385000.0,Risky,Nacogdoches,TX,0.26848269121096413,0.0388124914866833,0.7132351844146457
Wellington State Bank,1219.0,0.0020508891343857805,0.010806868660080848,-0.037503657424140746,0.018802292758971273,-0.05899331809564734,-0.06746779095150457,562371000.0,15246000.0,167766000.0,341799000.0,473045000.0,435735000.0,Risky,Wellington,TX,0.2983190811759497,0.02711021727649541,0.7225507087063598
Ireland Bank,1237.0,0.022346820422456615,0.1950485112077618,-0.019751029591510982,0.04066165268070909,0.002829593468992364,-0.03507328795072251,366679000.0,7144000.0,125912000.0,215162000.0,314714000.0,297952000.0,Risky,Malad City,ID,0.3433848134199122,0.019482981027001817,0.68367470147499
Farmers Bank & Trust Company,1291.0,0.03974962532095194,-0.1415993644909308,-0.02235392785353396,0.061862667891548595,0.023467790323923987,0.016382704849120966,2673058000.0,51868000.0,575857000.0,1845941000.0,2408494000.0,2139821000.0,Risky,Magnolia,AR,0.2154300430443335,0.019403993478630092,0.7664295613773586
FNBC Bank,1294.0,-0.0032614301546284308,-0.12563803412571095,-0.013961629081117422,0.006558940512186862,0.007844965676067517,-0.0032432777575372995,740197000.0,11991000.0,219714000.0,464381000.0,570665000.0,530759000.0,Risky,Ash Flat,AR,0.2968317893749907,0.01619974142018949,0.8137541289548159
Farmers Bank,1296.0,-0.002305522596963372,-0.06481128478841025,-0.018787842455488257,0.0004403992953612157,-0.004240455959548917,-0.009427111864147686,280849000.0,7359000.0,81838000.0,156745000.0,247739000.0,233271000.0,Risky,Greenwood,AR,0.2913950200997689,0.026202692550089193,0.6327021583198447
Citizens Bank & Trust Company,1376.0,-0.006775305180772184,-0.4512422237191426,-0.03003935331803509,0.03753794151417433,-0.05512076192172599,-0.056246373324652876,408120000.0,13849000.0,93414000.0,273799000.0,339497000.0,333414000.0,Risky,Plaquemine,LA,0.22888856218759188,0.033933646966578454,0.8064842988303283
Frandsen Bank & Trust,1399.0,0.03752054299935814,0.17908537019037007,-0.040967774594404816,0.06514912835937392,-0.0028888992792780455,0.010364430858645024,3296071000.0,49735000.0,729391000.0,2238102000.0,2687013000.0,2625727000.0,Risky,Lonsdale,MN,0.22129104621836118,0.015089177387258951,0.8329330747562442
Bank of Weston,1418.0,-0.031910145789943445,-0.592076417162543,-0.033040727207913734,0.031610730288732514,-0.03492632438479937,-0.04715329114344935,195225000.0,5210000.0,43401000.0,139057000.0,182010000.0,171945000.0,Risky,Weston,MO,0.22231271609681136,0.026687155845818926,0.7640074721169167
United Security Bank,1427.0,0.011262053917083126,-0.06694101508916328,-0.01787828557897231,0.007269365335460298,-0.06779199954184922,-0.07712306451878304,86202000.0,3401000.0,24885000.0,55564000.0,65111000.0,56086000.0,Risky,Fulton,MO,0.2886823971601587,0.03945384097816756,0.8533734699205971
Exchange Bank,1435.0,0.020774124705850827,-0.08621066433566438,0.002509056967932688,0.034164786411187587,0.019965394747891274,-0.0018015724836369928,1369885000.0,8363000.0,316848000.0,965731000.0,1044569000.0,807835000.0,Risky,Kearney,NE,0.23129532770999026,0.006104892016483136,0.9245258092093486
Bank of Holland,1464.0,0.013599245802041304,-0.044848484848484804,-0.06875647180645772,0.01989198980729845,0.015119539623452694,0.003276062900407606,222557000.0,5516000.0,49463000.0,150892000.0,207797000.0,192934000.0,Risky,Holland,NY,0.22224868236002462,0.02478466190683735,0.72615100314249
First Farmers & Merchants State Bank,1600.0,0.01194755542626802,0.46881287726358156,-0.014485049833887098,0.007741360985838552,-0.012573876007943907,-0.02006671463143439,97404000.0,2920000.0,22248000.0,70165000.0,82535000.0,74911000.0,Risky,Brownsdale,MN,0.22840951090304298,0.029978234980082955,0.850124189737687
