Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,3/1/02,4654
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,2/7/02,4653
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,2/1/02,4652
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,1/18/02,4651
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,1/11/02,4650
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,9/7/01,4649
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",7/27/01,6004
Malta National Bank,Malta,OH,6629,North Valley Bank,5/3/01,4648
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2/2/01,4647
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,12/14/00,4646
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,10/13/00,4645
